nickname,lineage
UKL,"['20111204_211746_r1_4_UKL', '20111205_214053_r2_3_ALY', '20111207_105006_r2_3_FTO', '20111210_110242_r2_4_FDL', '20111211_103320_r2_2_JDC', '20111212_213648_r2_3_QSS', '20111213_111542_r2_0_KIE', '20111214_104558_r2_0_YGP', '20111217_105831_r2_1_ILJ', '20111218_102917_r2_0_DBT', '20111218_220240_r2_0_GVZ', '20111220_111132_r2_1_IZS', '20111221_104145_r2_2_FRC', '20111224_105412_r2_1_KOC', '20111225_102507_r2_0_URZ', '20111225_215841_r2_0_WBR', '20111227_110652_r2_2_XMS', '20111228_103739_r2_0_VVY', '20111229_214149_r2_1_BJS', '20111231_105010_r2_1_DEI', '20120102_212455_r2_4_ICZ', '20120103_110253_r2_3_WCI']"
NIZ,"['20111204_221223_r2_3_NIZ', '20111206_111923_r2_0_YCA', '20111210_110242_r2_0_SLN', '20111211_220808_r2_5_LOK', '20111216_112743_r2_1_COH', '20111217_105831_r2_0_IGK', '20111218_220346_r2_4_PAF', '20111219_114025_r2_0_EJA', '20111223_112333_r2_2_QSS', '20111225_215927_r2_0_LCO', '20111227_110652_r2_0_ZZD', '20111230_111924_r2_1_AKB']"
YMB,"['20111211_103320_r2_3_YMB', '20111213_111542_r2_3_CVW']"
ZFI,"['20111210_110242_r2_2_ZFI', '20111211_103320_r2_0_GEP', '20111212_213648_r2_1_EFD', '20111214_104558_r2_2_CRC', '20111214_212555_r1_1_QJB', '20111217_105831_r2_3_AMY', '20111218_102917_r2_1_RHY']"
YUA,"['20111217_105831_r2_6_YUA', '20111218_102917_r2_3_KSB', '20111218_220240_r2_3_AOH', '20111220_111132_r2_2_BXP', '20111221_104145_r2_3_QTF', '20111224_105412_r2_2_ZAI']"
ZDN,"['20120415_105916_r2_2_ZDN', '20120416_102911_r2_2_ABG', '20120417_213332_r2_0_DHR', '20120419_104232_r2_0_VFQ', '20120421_211634_r2_2_KRT', '20120422_105507_r2_2_BCG', '20120423_102550_r2_2_DIY', '20120424_212839_r2_2_RPY', '20120427_214148_r2_1_MWD', '20120429_105057_r2_1_LPC', '20120503_103343_r2_1_AFG', '20120506_104614_r2_5_JTV', '20120508_212007_r2_3_EAW', '20120510_102929_r2_0_IRZ', '20120512_111103_r2_0_QOJ', '20120513_104151_r2_0_ZHB', '20120515_211652_r2_0_LOC', '20120516_105434_r2_0_RYH', '20120517_102518_r2_0_HXS', '20120519_110657_r2_2_DMS', '20120520_103751_r2_2_DHF', '20120523_105024_r2_3_CVD', '20120527_103338_r2_1_EKG', '20120530_104609_r2_1_QVK', '20120603_102916_r2_1_CDD', '20120603_220247_r2_1_RZC', '20120606_104146_r2_1_YBC', '20120608_211658_r2_1_QQO', '20120609_105419_r2_1_CIF', '20120610_102515_r2_0_ZDB', '20120611_212906_r2_0_MKD', '20120613_103737_r2_0_SCT', '20120614_214159_r2_0_IYZ', '20120616_105008_r2_3_MZM', '20120617_215422_r2_2_VIA', '20120620_103325_r2_2_EOJ', '20120623_104556_r2_2_PBU', '20120624_215011_r2_2_EFD', '20120626_105830_r2_6_IRX', '20120627_102915_r2_5_BTB', '20120630_104146_r2_1_LBL', '20120701_214556_r2_2_CLP', '20120702_211647_r2_0_CUH', '20120703_105418_r2_0_SDO', '20120704_102505_r2_0_ZHE', '20120705_212917_r2_0_TEI', '20120706_110651_r2_0_YEQ', '20120707_103735_r2_0_MNP', '20120708_214056_r2_2_FQA', '20120711_215421_r2_2_GOL', '20120712_212431_r2_1_DSN', '20120713_110243_r2_2_LXI', '20120714_103323_r2_1_GOO', '20120715_213736_r2_3_DRO', '20120717_104556_r2_3_LXH', '20120718_214937_r2_3_IBA', '20120720_105830_r2_3_SOP', '20120721_102911_r2_0_QAU', '20120722_213235_r2_0_CHQ', '20120723_111100_r2_1_ZHM', '20120724_104150_r2_1_YYP', '20120725_214557_r2_1_SHP', '20120727_105419_r2_1_MQG']"
OUR,"['20120415_105916_r2_4_OUR', '20120416_102911_r2_4_OJM', '20120417_213332_r2_2_YBK', '20120421_211634_r2_1_ROO', '20120422_105507_r2_1_SQD', '20120423_102550_r2_5_KEF', '20120424_212839_r2_4_JIY', '20120427_214148_r2_3_DWT', '20120429_105057_r2_2_FFP', '20120503_103343_r2_2_STV', '20120506_104614_r2_6_DBO', '20120508_212007_r2_4_ZOX', '20120510_102929_r2_1_UUP', '20120512_111103_r2_1_HZT', '20120513_104151_r2_1_IEP', '20120515_211652_r2_1_DKP', '20120516_105434_r2_2_ZPY', '20120517_102518_r2_2_VOT', '20120519_110657_r2_3_DUO', '20120520_103751_r2_3_GNL', '20120523_105024_r2_4_ADH', '20120527_103338_r2_2_YCO', '20120530_104609_r2_2_PUI', '20120603_102916_r2_2_BGM', '20120603_220247_r2_2_EHI', '20120606_104146_r2_2_XZT', '20120608_211658_r2_2_VIB', '20120609_105419_r2_2_BVO', '20120610_102515_r2_1_EQL', '20120611_212906_r2_1_GMV', '20120613_103737_r2_1_XRW', '20120614_214159_r2_1_QBK', '20120616_105008_r2_4_TNF', '20120617_215422_r2_3_VMM', '20120620_103325_r2_3_QQL', '20120623_104556_r2_3_AXJ', '20120624_215011_r2_3_WRU', '20120626_105830_r2_1_BEO', '20120627_102915_r2_1_QTM', '20120630_104146_r2_5_YME', '20120701_214556_r2_6_YCV', '20120702_211647_r2_4_YQI', '20120703_105418_r2_4_KPW', '20120704_102505_r2_4_ZKN', '20120705_212917_r2_4_RMS']"
WTD,"['20120627_102915_r2_2_WTD', '20120630_104146_r2_4_YJH']"
KYV,"['20120706_110651_r2_8_KYV', '20120707_103735_r2_9_MCL', '20120707_221059_r2_1_IPL', '20120708_214211_r2_1_COR', '20120709_111924_r2_2_SYD', '20120711_215421_r2_6_SAI', '20120712_212546_r2_1_ZSC', '20120713_110243_r2_7_RCL', '20120714_220711_r2_1_VRD', '20120715_213736_r2_7_WII', '20120716_111452_r2_1_WZD', '20120717_104556_r2_7_NUS', '20120718_214937_r2_7_RFD', '20120719_112715_r2_1_MIQ', '20120720_105830_r2_7_AXF', '20120722_213350_r2_1_HUF', '20120723_111100_r2_4_VGH', '20120726_112311_r2_1_IAM', '20120727_105419_r2_5_YCF', '20120728_215855_r2_1_FDB', '20120729_212925_r2_5_XEZ', '20120730_110648_r2_5_LXT', '20120731_103734_r2_6_AAT']"
FQX,"['20120711_215421_r2_4_FQX', '20120712_212431_r2_3_SGZ', '20120713_110243_r2_4_GBJ', '20120714_103323_r2_3_UTC', '20120715_213736_r2_5_UHO', '20120717_104556_r2_5_MVE', '20120718_214937_r2_5_HVB', '20120720_105830_r2_5_XFF', '20120721_102911_r2_2_FDM', '20120722_213235_r2_2_SYY', '20120723_111100_r2_2_UNZ', '20120724_104150_r2_2_BRU']"
AKP,"['20120722_213235_r2_3_AKP', '20120723_111100_r2_3_ZSV', '20120724_104150_r2_3_KRO']"
QOW,"['20120728_215740_r2_4_QOW', '20120729_212925_r2_4_UOB', '20120730_110648_r2_4_WSF', '20120731_103734_r2_4_TBR']"
BCQ,"['20120728_215740_r2_6_BCQ', '20120729_212807_r2_1_JZT', '20120731_103849_r2_1_MBF', '20120803_105045_r2_0_YSJ', '20120804_102101_r2_1_AFU', '20120806_110258_r2_2_DEH', '20120807_103418_r2_0_DRQ']"
MIB,"['20120821_215913_r2_0_MIB', '20120824_221204_r2_0_MTU', '20120825_114808_r2_0_CVR', '20120902_111451_r2_2_UFM', '20120904_115657_r2_0_FBY', '20120906_223300_r2_3_CRR', '20120908_113956_r2_0_CFA']"
THX,"['20120824_221050_r2_0_THX', '20120826_112001_r2_0_RKJ', '20120827_105005_r2_1_VEK']"
BOR,"['20120909_111056_r2_1_BOR', '20120916_110648_r2_1_YAZ', '20120923_110236_r2_1_NJM', '20121006_112310_r2_0_WXV', '20121007_105423_r2_0_JDV', '20121014_105012_r2_1_NDE', '20121018_220725_r2_0_DLI', '20121023_112721_r2_2_PVG', '20121024_105834_r2_1_GVI', '20121027_111042_r2_1_ACF']"
QON,"['20120909_111056_r2_7_QON', '20120916_110648_r2_6_VUO', '20120923_110236_r2_5_ZVI']"
WOC,"['20120909_111056_r2_0_WOC', '20120916_110648_r2_0_KRM', '20120923_110236_r2_0_KTK']"
NLJ,"['20121028_122028_r2_12_NLJ', '20121028_221758_r2_11_UQX', '20121029_115112_r2_12_SBQ', '20121030_220705_r1_8_HZA', '20121031_123259_r2_6_QHN', '20121031_213655_r1_5_WLI', '20121031_223020_r2_4_TNT', '20121102_113453_r2_3_YQP', '20121102_221935_r1_3_GLI', '20121103_215024_r1_6_ZLU', '20121104_121632_r2_5_VAJ', '20121104_221404_r2_5_FYG', '20121105_114705_r2_5_UHD', '20121108_115948_r2_5_JGF']"
OGG,"['20121031_213540_r1_1_OGG', '20121031_222905_r2_1_DKM', '20121102_113607_r2_0_BOU', '20121102_221705_r1_0_WGN', '20121103_110655_r2_0_CAC', '20121106_111926_r2_2_CVF', '20121109_113156_r2_0_TZJ', '20121110_110245_r2_0_MJQ', '20121111_220715_r2_6_IQW', '20121118_220357_r2_4_HOU', '20121119_213454_r2_1_ZHE', '20121120_111101_r2_0_LMW', '20121122_115246_r2_0_YAK', '20121123_112333_r2_0_NKY', '20121125_215932_r2_0_ZDF', '20121126_113605_r2_0_HPA', '20121127_110654_r2_0_PUD', '20121128_221227_r2_0_EMW', '20121129_114836_r2_0_FAE', '20121130_111923_r2_0_OJR', '20121201_222437_r2_0_CXV', '20121202_215539_r2_6_FHL', '20121203_113156_r2_0_VMN', '20121204_110244_r2_6_OQD', '20121207_111516_r2_6_BCV', '20121208_222027_r2_0_GJN', '20121209_115635_r2_0_XWE', '20121210_112746_r2_0_IVP', '20121214_111102_r2_0_OYA', '20121216_115233_r2_0_BQU', '20121216_214632_r2_0_EGQ', '20121222_221123_r2_1_RTM', '20121224_111902_r2_2_CBG', '20121230_213820_r2_6_DYJ', '20121231_111450_r2_6_HFA', '20130105_220308_r2_12_DXC', '20130106_114013_r2_4_YGA', '20130106_213356_r2_4_GIJ', '20130107_111108_r2_4_UVM', '20130113_113551_r2_4_EGG', '20130114_110652_r2_5_ELN', '20130120_113156_r2_5_EWE', '20130121_110245_r2_2_EQT', '20130122_220814_r2_2_EKP', '20130124_111457_r2_5_KGH', '20130126_115609_r2_5_KJO', '20130126_215126_r2_5_JSP', '20130127_112718_r2_5_FXZ', '20130202_115202_r2_5_RII', '20130210_111858_r2_7_ZCQ', '20130216_114403_r2_6_BAO', '20130216_213818_r2_6_VLW', '20130217_111503_r2_6_RLV', '20130224_111038_r2_9_KSY', '20130302_113540_r2_6_JSV', '20130303_110646_r2_14_IRA', '20130309_113134_r2_7_CVK', '20130310_110239_r2_10_OTG', '20130316_112720_r2_4_SBN', '20130321_221629_r2_5_OZL', '20130323_112310_r2_5_MZF', '20130324_222908_r2_5_NMX', '20130328_221220_r2_5_OMC', '20130330_111923_r2_5_VUZ', '20130331_222437_r2_5_CTE', '20130405_213802_r2_8_QAL', '20130406_111505_r2_12_EOQ', '20130407_222028_r2_5_DXQ', '20130413_111102_r2_12_WHM', '20130414_221618_r2_6_AMD', '20130420_110648_r2_6_GEA', '20130421_221217_r2_5_FCG', '20130427_110235_r2_9_GIA', '20130428_220711_r2_8_SRQ', '20130505_220305_r2_9_UED', '20130511_222850_r2_5_RGE', '20130512_215857_r2_5_XUB', '20130518_222439_r2_5_SZA', '20130519_215535_r2_6_HSR', '20130523_213856_r2_5_ZHN', '20130525_222005_r2_5_AEZ', '20130526_115646_r2_5_AAK', '20130526_215038_r2_5_UYR', '20130601_221549_r2_8_THL', '20130602_115224_r2_5_DFS', '20130602_214711_r2_5_KAT', '20130603_112307_r2_5_BTW', '20130607_110651_r2_6_DRI', '20130608_221210_r2_5_FGZ', '20130609_114815_r2_5_ABE', '20130609_214239_r2_5_IPX', '20130610_111922_r2_5_CLC', '20130614_110243_r2_11_XQQ', '20130615_220711_r2_10_TGZ', '20130616_114408_r2_2_KQS', '20130616_213830_r2_4_LYY', '20130622_220305_r2_11_VPW', '20130623_113955_r2_6_GCX', '20130623_213402_r2_5_JJD', '20130624_111053_r2_5_JWP', '20130630_113544_r2_7_CYM', '20130701_110651_r2_5_PUW', '20130703_114806_r2_5_WDQ', '20130703_214213_r2_5_CWU', '20130704_111859_r2_5_FEW', '20130707_113121_r2_9_RBY', '20130708_110243_r2_8_PGR', '20130710_114357_r2_2_UTA', '20130710_213803_r2_2_IDI', '20130711_111450_r2_2_EQG', '20130712_222022_r2_2_EFD', '20130713_115626_r2_3_QEB', '20130713_215050_r2_2_PAL', '20130714_112722_r2_2_RHE', '20130716_220251_r2_6_WKC', '20130717_113949_r2_5_ZJL', '20130717_213404_r2_6_FJJ', '20130718_111038_r2_6_YYJ', '20130719_221537_r2_7_ITA', '20130720_115220_r2_7_RCS', '20130720_214704_r2_6_NXR', '20130721_112307_r2_6_EDD']"
FPI,"['20121116_212116_r2_1_FPI', '20121118_111740_r1_2_DHW']"
YVI,"['20121116_212116_r2_0_YVI', '20121118_111740_r1_1_JFT', '20121118_220243_r2_1_NML', '20121119_213339_r2_1_KNA', '20121120_111101_r2_2_KCB', '20121123_112333_r2_2_IRK', '20121125_215852_r2_0_AKL', '20121127_110654_r2_4_VEB', '20121127_214709_r1_0_SOQ', '20121130_111923_r2_6_PSA', '20121201_105010_r2_0_IFB', '20121202_215424_r2_4_ADF', '20121203_212457_r2_4_WBA', '20121204_110244_r2_4_FJR', '20121205_103326_r2_4_ISX', '20121207_111516_r2_4_FOI', '20121214_111102_r2_14_UNU', '20121222_221123_r2_11_OQL', '20121224_111902_r2_11_HOP', '20121230_213705_r2_3_DDA', '20121231_111605_r2_2_ZCJ', '20130104_105835_r2_2_XWW', '20130105_220308_r2_0_MAF', '20130106_213356_r2_7_YFT', '20130107_111108_r2_7_EBU', '20130114_110652_r2_8_HNC', '20130121_110245_r2_7_AZD', '20130122_103316_r2_2_DWL', '20130124_111457_r2_8_VGE', '20130126_215011_r2_2_NAJ', '20130128_105837_r2_5_WSG', '20130204_105421_r2_4_ABK', '20130210_112016_r2_2_QED', '20130211_105012_r2_5_XJN', '20130216_213703_r2_4_KWD', '20130217_111503_r2_12_VPM', '20130218_104555_r2_5_NFJ', '20130221_105829_r2_5_VNQ', '20130224_111151_r2_2_ENO', '20130225_104146_r2_2_ZEI', '20130302_212916_r2_0_IRU', '20130303_110646_r2_6_EQP', '20130304_103742_r2_2_OZQ', '20130309_212503_r2_0_STO', '20130310_110239_r2_3_JVE', '20130311_103413_r2_0_SCD', '20130314_104641_r2_0_QKK', '20130316_212052_r2_0_VIF', '20130317_105829_r2_0_YXK', '20130321_104232_r2_0_XDP', '20130324_105419_r2_5_JFC', '20130328_103815_r2_2_VUO', '20130330_111923_r2_7_LPJ', '20130331_105008_r2_3_WXJ', '20130404_103412_r2_3_DVQ', '20130405_213802_r2_1_OSY', '20130406_111505_r2_1_HSM', '20130407_104557_r2_0_ETM', '20130410_105907_r2_0_WQO', '20130413_111102_r2_2_PIZ', '20130414_104145_r2_0_WOY', '20130420_110648_r2_8_HMZ', '20130421_103735_r2_0_SPC', '20130421_221132_r2_0_QVG', '20130424_105055_r2_1_VEH', '20130427_110235_r2_0_QOT', '20130428_103407_r2_0_LBP', '20130428_220711_r2_0_LHZ', '20130501_104607_r2_1_CVF', '20130503_212112_r2_0_GAU', '20130504_105825_r2_0_JMW', '20130505_220305_r2_3_NML', '20130508_104226_r2_0_GXD', '20130509_214620_r2_0_HKR', '20130511_105415_r2_1_DSF', '20130512_215857_r2_6_CRU', '20130513_212941_r2_2_HWC', '20130515_103746_r2_0_QNW', '20130519_215420_r2_3_AQK', '20130520_212530_r2_1_FEV', '20130522_103319_r2_0_SIL', '20130523_213741_r2_0_BNY', '20130525_104556_r2_0_CRB', '20130526_214924_r2_0_IWE', '20130527_212107_r2_3_XRD', '20130601_104139_r2_5_UEI', '20130602_214557_r2_6_ZOJ', '20130603_112422_r2_0_UHY', '20130604_105419_r2_0_GPC', '20130606_212841_r2_1_DAT', '20130608_103736_r2_1_YGS', '20130608_221055_r2_0_MPD', '20130609_214158_r2_0_SYB', '20130610_111922_r2_7_GPA', '20130611_105007_r2_1_HOT', '20130612_215421_r2_0_QFX', '20130613_212431_r2_0_WLO', '20130614_110243_r2_4_YIO', '20130615_103321_r2_0_CHG', '20130615_220711_r2_0_QPP', '20130616_213715_r2_0_KWW', '20130618_104556_r2_1_QAI', '20130620_212028_r2_0_LYY', '20130621_105828_r2_4_RKS', '20130622_220305_r2_4_FMK', '20130623_213247_r2_0_QIW', '20130624_111053_r2_10_TVX', '20130625_104145_r2_4_KKN', '20130628_105419_r2_4_CQV', '20130701_110651_r2_11_SLD', '20130702_103740_r2_1_LYH', '20130703_214213_r2_6_HJL', '20130704_112014_r2_0_DTF', '20130705_105010_r2_0_WLT', '20130706_215421_r2_0_UVU', '20130707_212506_r2_3_MLE', '20130708_110243_r2_3_MQW', '20130710_213803_r2_9_DCO', '20130711_111450_r2_9_YSR', '20130712_104601_r2_5_VDR', '20130713_214930_r2_2_YQW', '20130714_212059_r2_4_NAF', '20130715_105832_r2_4_XML', '20130716_220251_r2_4_TZF', '20130717_213245_r2_0_KAE', '20130718_111153_r2_0_ILO', '20130719_104145_r2_0_HZV', '20130720_214516_r2_0_XHP', '20130721_112422_r2_0_FTG', '20130723_215830_r2_0_URH', '20130724_212908_r2_2_MZQ', '20130725_110650_r2_3_HWX', '20130726_103734_r2_0_OUU', '20130726_221106_r2_0_PPO', '20130727_214105_r2_0_JBU', '20130728_112004_r2_0_IOD', '20130729_105010_r2_1_GRJ', '20130730_215421_r2_0_VYF', '20130731_212513_r2_2_HXX', '20130801_110307_r2_2_SAT', '20130802_103314_r2_0_ENJ', '20130802_220711_r2_0_ZXA', '20130804_111601_r2_0_WNY', '20130805_104627_r2_0_UJU', '20130806_214930_r2_1_RWX', '20130808_105858_r2_2_RBI']"
ZSD,"['20121119_213339_r2_4_ZSD', '20121120_111101_r2_5_MGH', '20121125_215852_r2_4_JLK', '20121127_110654_r2_10_WWG', '20121127_214709_r1_5_QSK', '20121130_111923_r2_10_URO', '20121201_105010_r2_4_ATN', '20121202_215424_r2_3_OEM', '20121203_212457_r2_3_QIA', '20121204_110244_r2_3_WUA', '20121205_103326_r2_3_MES', '20121207_111516_r2_3_TFS', '20121214_111102_r2_13_LWC', '20121224_111902_r2_14_UBY', '20121230_213705_r2_6_KOT', '20121231_111605_r2_4_UYS', '20130104_105835_r2_11_PBD', '20130105_220308_r2_8_QYN', '20130106_213356_r2_14_ICL', '20130107_111108_r2_14_AGL', '20130114_110652_r2_19_EDR']"
XND,"['20121119_213339_r2_3_XND', '20121120_111101_r2_4_BNU', '20121123_112333_r2_3_KZO', '20121125_215852_r2_1_WAJ', '20121127_110654_r2_5_BRF', '20121127_214709_r1_1_MKL', '20121130_111923_r2_7_VMQ', '20121201_105010_r2_1_QKS', '20121202_215424_r2_2_OXZ', '20121203_212457_r2_2_ECV', '20121204_110244_r2_2_LME', '20121205_103326_r2_2_GJP', '20121207_111516_r2_2_MSS', '20121214_111102_r2_12_HJC', '20121216_214632_r2_12_IZI', '20121222_221123_r2_0_RYI', '20121224_111902_r2_1_PZS', '20121230_213705_r2_2_MUN', '20121231_111450_r2_12_CBQ', '20130104_105835_r2_9_GDR', '20130105_220308_r2_6_BJC', '20130106_213356_r2_12_VMR', '20130107_111108_r2_12_FTJ', '20130114_110652_r2_14_UNM', '20130121_110245_r2_8_AKJ', '20130122_103316_r2_3_KGV', '20130124_111457_r2_9_PVZ', '20130126_215011_r2_3_HUJ', '20130128_105837_r2_6_PNY', '20130204_105421_r2_5_MSS', '20130211_105012_r2_6_WRR', '20130216_213703_r2_5_DEC', '20130217_111503_r2_13_FPA', '20130218_104555_r2_6_YBX', '20130221_105829_r2_7_PFQ', '20130224_111151_r2_3_RVU', '20130225_104146_r2_3_RHJ', '20130302_212916_r2_4_KPH', '20130303_110646_r2_10_IQN', '20130304_103742_r2_6_JKB', '20130309_212503_r2_4_LHB', '20130310_110239_r2_7_TLI', '20130311_103413_r2_4_FUM', '20130314_104641_r2_4_MHQ', '20130316_212052_r2_4_XFJ', '20130317_105829_r2_4_UPA', '20130321_104232_r2_4_DAF', '20130323_112310_r2_6_UGA', '20130324_105419_r2_2_WZG', '20130328_103815_r2_1_GTO', '20130330_111923_r2_6_BXM', '20130331_105008_r2_2_QLS', '20130404_103412_r2_2_YRJ', '20130405_213802_r2_0_CDI', '20130406_111505_r2_0_FUP', '20130407_104557_r2_4_MTQ', '20130410_105907_r2_4_HQZ', '20130413_111102_r2_4_YAP', '20130414_104145_r2_4_ATJ', '20130420_110648_r2_12_ETA', '20130421_103735_r2_4_NUU', '20130421_221132_r2_1_HTL', '20130424_105055_r2_2_BOB', '20130427_110235_r2_1_UDP', '20130428_103407_r2_1_OZV', '20130428_220711_r2_1_EVD', '20130501_104607_r2_2_WSV', '20130503_212112_r2_1_IMC', '20130504_105825_r2_1_QBU', '20130505_220305_r2_4_LDK', '20130508_104226_r2_1_YHH', '20130509_214620_r2_1_DFE', '20130511_105415_r2_2_NWN', '20130512_215857_r2_7_GFV', '20130513_212941_r2_3_TLM', '20130515_103746_r2_1_HIG', '20130519_215420_r2_4_KYX', '20130520_212530_r2_2_PSI', '20130522_103319_r2_1_VGC', '20130523_213741_r2_1_TAY', '20130525_104556_r2_1_JRV', '20130526_215038_r2_6_VYL', '20130527_212107_r2_1_ECE', '20130601_104139_r2_3_UPM', '20130602_214557_r2_5_RVL', '20130603_112307_r2_10_ZKN', '20130604_105419_r2_4_VYM', '20130606_212841_r2_2_NFA', '20130608_103736_r2_2_DMW', '20130608_221055_r2_1_SBH', '20130609_214158_r2_1_SLK', '20130610_111922_r2_8_KTG', '20130611_105007_r2_2_SSC', '20130613_212431_r2_4_KGN', '20130614_110243_r2_8_WKA', '20130615_103321_r2_4_KEK', '20130615_220711_r2_3_QHY', '20130616_213715_r2_3_PCV', '20130618_104556_r2_4_QPY', '20130620_212028_r2_3_UKY', '20130621_105828_r2_7_WVG', '20130622_220305_r2_5_KKF', '20130623_213247_r2_1_IBW', '20130624_111053_r2_11_QFH', '20130625_104145_r2_5_TEE', '20130628_105419_r2_5_JCW']"
